"condition","min_counts","min_features","cells_retained","pct_of_raw","n_clusters"
"Unfiltered",NA,NA,490610,100,NA
"Lenient",10,10,490610,100,13
"Standard",25,20,454652,92.7,11
"Strict",100,50,184408,37.6,14
